mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
1,21.6,1.57855,63,1,0.5,0.5,1,1,2,1,73.736225293,0.0,0.05,2.6,0
1,17.3,4.18308,63,1,0.5,0.5,1,1,2,1,73.736225293,0.0,0.05,2.6,0
1,170.0,0.6024,60,0,0.0,0.5,1,1,3,1,79.9010530389,2.1,1.5,3.5,1
1,170.0,1.83952,60,0,0.0,0.5,1,1,3,1,79.9010530389,2.1,1.5,3.5,1
0,1.5,0.73065,50,0,1.0,0.5,2,1,0,1,55.6293807009,0.3,3.2,2.3,1
0,1.5,0.73065,50,0,1.0,0.5,2,1,0,1,55.6293807009,0.3,3.2,2.3,1
0,1.7,0.73065,50,0,1.0,0.5,2,1,0,1,55.6293807009,0.3,3.2,2.3,1
1,14.0,3.27812,33,0,1.0,1.0,1,0,5,1,23.7336601307,0.3,2.8,2.3,1
1,4.0,0.79407,33,0,1.0,1.0,1,0,5,1,23.7336601307,0.3,2.8,2.3,1
1,8.0,0.46242,33,0,1.0,1.0,1,0,5,1,23.7336601307,0.3,2.8,2.3,1
0,0.1,0.15525,46,0,0.5,1.0,3,1,6,1,77.6129230499,0.2,2.2,1.8,1
0,5.0,0.15525,46,0,0.5,1.0,3,1,6,1,77.6129230499,0.2,2.2,1.8,1
0,0.1,0.15525,46,0,0.5,1.0,3,1,6,1,77.6129230499,0.2,2.2,1.8,1
0,0.1,0.15525,46,0,0.5,1.0,3,1,6,1,77.6129230499,0.2,2.2,1.8,1
0,3.0,0.50938,54,1,0.0,1.0,0,0,3,1,79.003021148,0.3,2.8,2.3,0
1,2.0,1.97986,68,0,0.0,0.5,0,0,0,1,37.9573170732,0.8,3.0,3.3,1
1,2.0,1.48767,68,0,0.0,0.5,0,0,0,1,37.9573170732,0.8,3.0,3.3,1
1,71.5,0.88797,38,1,0.5,0.5,2,1,3,1,68.7491744816,0.8,3.0,3.3,0
1,71.5,1.15755,38,1,0.5,0.5,2,1,3,1,68.7491744816,0.8,3.0,3.3,0
0,0.3,0.38033,27,1,0.5,0.5,1,1,3,1,73.0771639734,0.2,2.2,1.8,0
0,0.3,0.38033,27,1,0.5,0.5,1,1,3,1,73.0771639734,0.2,2.2,1.8,0
0,0.5,0.38033,27,1,0.5,0.5,1,1,3,1,73.0771639734,0.2,2.2,1.8,0
1,3.0,1.39202,34,0,1.0,0.0,1,1,2,1,39.5548905929,0.6,2.4,2.5,1
1,3.0,1.77461,34,0,1.0,0.0,1,1,2,1,39.5548905929,0.6,2.4,2.5,1
1,22.0,1.39202,34,0,1.0,0.0,1,1,2,1,39.5548905929,0.6,2.4,2.5,1
0,2.0,0.52495,34,0,1.0,0.0,1,1,2,1,39.5548905929,0.6,2.4,2.5,1
1,9.1,1.25468,27,0,1.0,0.5,1,1,1,1,43.1518624642,0.6,2.4,2.5,1
1,9.1,0.40979,27,0,1.0,0.5,1,1,1,1,43.1518624642,0.6,2.4,2.5,1
1,10.0,0.48204,59,1,0.5,0.5,1,1,3,1,79.7554876355,-0.5,0.0,2.8,0
1,10.0,0.43608,59,1,0.5,0.5,1,1,3,1,79.7554876355,-0.5,0.0,2.8,0
1,10.0,0.48204,59,1,0.5,0.5,1,1,3,1,79.7554876355,-0.5,0.0,2.8,0
1,10.0,0.43608,59,1,0.5,0.5,1,1,3,1,79.7554876355,-0.5,0.0,2.8,0
0,1.0,0.85203,46,0,0.0,0.0,1,0,4,1,72.7182018696,0.5,3.85,2.0,1
0,1.0,0.85203,46,0,0.0,0.0,1,0,4,1,72.7182018696,0.5,3.85,2.0,1
0,5.0,0.73655,72,1,1.0,0.5,1,1,2,1,55.4158403308,-1.0,0.0,2.5,0
1,2.0,0.63216,30,1,0.5,0.5,1,1,2,1,77.9050336254,-3.7,0.1,1.9,0
1,15.0,0.63216,30,1,0.5,0.5,1,1,2,1,77.9050336254,-3.7,0.1,1.9,0
0,2.0,0.57906,30,1,0.5,0.5,1,1,2,1,77.9050336254,-3.7,0.1,1.9,0
1,15.0,0.046,30,1,0.5,0.5,1,1,2,1,77.9050336254,-3.7,0.1,1.9,0
1,2.0,0.63216,30,1,0.5,0.5,1,1,2,1,77.9050336254,-3.7,0.1,1.9,0
1,12.0,0.88441,25,1,0.5,0.0,1,1,1,1,63.0447114641,0.3,0.3,2.4,0
1,12.0,1.21095,25,1,0.5,0.0,1,1,1,1,63.0447114641,0.3,0.3,2.4,0
0,4.0,0.07389,51,1,0.5,1.0,2,1,5,1,81.9277108434,-3.4,0.05,1.8,0
1,28.0,0.15133,69,0,0.0,0.0,0,0,1,1,79.6083518656,-3.7,0.1,1.9,-1
1,28.0,0.07199,69,0,0.0,0.0,0,0,1,1,79.6083518656,-3.7,0.1,1.9,-1
0,1.0,1.07937,33,0,0.0,0.5,0,0,3,1,60.3487780041,0.6,2.4,2.5,1
0,1.0,1.07937,33,0,0.0,0.5,0,0,3,1,60.3487780041,0.6,2.4,2.5,1
0,0.5,1.07937,33,0,0.0,0.5,0,0,3,1,60.3487780041,0.6,2.4,2.5,1
0,0.5,1.67866,33,0,0.0,0.5,0,0,3,1,60.3487780041,0.6,2.4,2.5,1
1,1.0,0.45801,28,1,1.0,1.0,2,1,4,1,86.1717030218,-0.5,0.0,2.8,0
1,1.0,0.45801,28,1,1.0,1.0,2,1,4,1,86.1717030218,-0.5,0.0,2.8,0
1,37.0,1.15512,42,1,1.0,0.5,2,1,8,1,50.2668903462,-2.6,0.05,1.8,0
1,17.0,0.46703,42,1,1.0,0.5,2,1,8,1,50.2668903462,-2.6,0.05,1.8,0
0,1.0,0.75602,42,1,1.0,0.5,2,1,8,1,50.2668903462,-2.6,0.05,1.8,0
1,20.0,0.75602,42,1,1.0,0.5,2,1,8,1,50.2668903462,-2.6,0.05,1.8,0
1,8.2,1.95326,43,0,0.5,1.0,2,1,4,1,66.2237720195,-3.7,0.1,1.9,1
1,10.0,0.85596,43,0,0.5,1.0,2,1,4,1,66.2237720195,-3.7,0.1,1.9,1
0,4.0,0.98651,46,0,0.5,0.5,1,1,3,1,53.7879945013,-3.2,0.0,1.3,1
0,1.0,2.41384,46,0,0.5,0.5,1,1,3,1,53.7879945013,-3.2,0.0,1.3,1
0,5.0,2.41384,46,0,0.5,0.5,1,1,3,1,53.7879945013,-3.2,0.0,1.3,1
0,4.0,1.90052,41,1,1.0,1.0,2,1,6,1,31.072555205,-2.2,0.05,2.5,0
0,4.0,0.046,41,1,1.0,1.0,2,1,6,1,31.072555205,-2.2,0.05,2.5,0
0,1.5,1.90052,41,1,1.0,1.0,2,1,6,1,31.072555205,-2.2,0.05,2.5,0
0,1.5,0.046,41,1,1.0,1.0,2,1,6,1,31.072555205,-2.2,0.05,2.5,0
0,0.5,1.4906,19,1,0.5,1.0,2,0,8,1,34.8540896013,-1.0,0.0,2.5,0
0,0.5,1.4906,19,1,0.5,1.0,2,0,8,1,34.8540896013,-1.0,0.0,2.5,0
0,0.5,1.4906,19,1,0.5,1.0,2,0,8,1,34.8540896013,-1.0,0.0,2.5,0
0,0.5,1.4906,19,1,0.5,1.0,2,0,8,1,34.8540896013,-1.0,0.0,2.5,0
0,3.0,1.06591,51,1,1.0,1.0,1,1,3,1,61.680538137,-1.0,0.0,2.5,0
1,3.0,1.31543,51,1,1.0,1.0,1,1,3,1,61.680538137,-1.0,0.0,2.5,0
1,25.0,0.90164,45,1,0.5,0.5,1,1,1,1,42.0725231376,-1.0,0.0,2.5,0
